graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_15_105_0,15,105,14,"{(10, 11), (5, 11), (6, 11), (1, 11), (11, 13), (11, 14), (11, 12), (8, 11), (9, 11), (4, 11), (7, 11), (2, 11), (0, 11), (3, 11)}",30,1155,0.0
Graph_16_16_0,16,16,1,"{(1, 7)}",48,728,0.0
Graph_16_16_1,16,16,1,"{(11, 13)}",32,480,0.0
Graph_16_16_2,16,16,1,"{(13, 14)}",32,480,0.0
Graph_16_16_3,16,16,1,"{(11, 13)}",48,728,0.0
Graph_16_16_4,16,16,1,"{(5, 10)}",32,480,0.015655517578125
Graph_16_31_0,16,31,2,"{(6, 15), (5, 6)}",32,600,0.0
Graph_16_31_1,16,31,1,"{(9, 13)}",48,908,0.0
Graph_16_31_2,16,31,3,"{(0, 1), (0, 10), (0, 11)}",48,908,0.0
Graph_16_31_3,16,31,3,"{(2, 3), (2, 6), (2, 12)}",32,600,0.0
Graph_16_31_4,16,31,2,"{(6, 12), (6, 10)}",32,600,0.0
Graph_16_61_0,16,61,2,"{(11, 12), (3, 11)}",32,840,0.0
Graph_16_61_1,16,61,4,"{(2, 15), (2, 11), (2, 9), (2, 13)}",32,840,0.0
Graph_16_61_2,16,61,5,"{(3, 8), (3, 14), (3, 10), (2, 3), (3, 11)}",32,840,0.0
Graph_16_61_3,16,61,5,"{(0, 1), (0, 13), (0, 9), (0, 5), (0, 8)}",32,840,0.0
Graph_16_61_4,16,61,4,"{(8, 14), (8, 15), (5, 8), (2, 8)}",32,840,0.0
Graph_16_91_0,16,91,10,"{(10, 11), (6, 11), (1, 11), (11, 12), (9, 11), (4, 11), (7, 11), (2, 11), (8, 11), (3, 11)}",32,1080,0.0
Graph_16_91_1,16,91,7,"{(2, 4), (2, 10), (2, 13), (2, 6), (2, 15), (2, 5), (2, 11)}",32,1080,0.0
Graph_16_91_2,16,91,9,"{(4, 10), (0, 10), (10, 14), (2, 10), (8, 10), (10, 13), (6, 10), (1, 10), (10, 12)}",32,1080,0.0
Graph_16_91_3,16,91,10,"{(13, 14), (4, 13), (0, 13), (11, 13), (7, 13), (2, 13), (10, 13), (8, 13), (6, 13), (13, 15)}",32,1080,0.0
Graph_16_91_4,16,91,9,"{(3, 8), (3, 14), (3, 4), (0, 3), (2, 3), (3, 9), (3, 12), (1, 3), (3, 5)}",32,1080,0.0
Graph_16_120_0,16,120,15,"{(10, 15), (5, 15), (6, 15), (1, 15), (14, 15), (9, 15), (4, 15), (0, 15), (11, 15), (12, 15), (7, 15), (2, 15), (13, 15), (8, 15), (3, 15)}",32,1312,0.0
Graph_17_18_0,17,18,1,"{(0, 9)}",34,535,0.0
Graph_17_18_1,17,18,1,"{(3, 11)}",34,535,0.0
Graph_17_18_2,17,18,1,"{(6, 9)}",34,535,0.0
Graph_17_18_3,17,18,1,"{(3, 11)}",34,535,0.0
Graph_17_18_4,17,18,1,"{(7, 16)}",68,1087,0.0
Graph_17_35_0,17,35,1,"{(6, 16)}",51,1015,0.0
Graph_17_35_1,17,35,3,"{(12, 16), (11, 16), (1, 16)}",34,671,0.0
Graph_17_35_2,17,35,1,"{(14, 16)}",34,671,0.0
Graph_17_35_3,17,35,3,"{(2, 15), (2, 4), (2, 12)}",51,1015,0.0
Graph_17_35_4,17,35,2,"{(12, 16), (12, 15)}",34,671,0.0
Graph_17_69_0,17,69,3,"{(11, 12), (11, 13), (3, 11)}",34,943,0.0
Graph_17_69_1,17,69,6,"{(10, 15), (0, 10), (10, 14), (7, 10), (8, 10), (10, 13)}",34,943,0.0
Graph_17_69_2,17,69,5,"{(6, 7), (2, 6), (6, 10), (6, 16), (6, 9)}",51,1423,0.0
