graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,"{(0, 1)}",1,7,0.0
Graph_3_3_0,3,3,2,"{(0, 1), (0, 2)}",2,15,0.0
Graph_4_3_0,4,3,1,"{(0, 1)}",1,9,0.0
Graph_4_4_0,4,4,1,"{(2, 3)}",1,9,0.0
Graph_4_5_0,4,5,2,"{(0, 1), (0, 3)}",2,19,0.0
Graph_4_6_0,4,6,3,"{(0, 1), (0, 2), (0, 3)}",3,30,0.0
Graph_5_4_0,5,4,1,"{(1, 2)}",1,11,0.011474847793579102
Graph_5_6_0,5,6,1,"{(1, 3)}",1,11,0.0
Graph_5_8_0,5,8,3,"{(0, 1), (0, 3), (0, 4)}",3,36,0.0
Graph_5_10_0,5,10,4,"{(0, 1), (0, 2), (0, 3), (0, 4)}",4,50,0.0
Graph_6_5_0,6,5,1,"{(3, 4)}",1,13,0.0
Graph_6_8_0,6,8,2,"{(0, 4), (0, 5)}",2,27,0.0
