graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_18_77_1,18,77,6,"{(3, 14), (10, 14), (1, 14), (4, 14), (11, 14), (12, 14)}",36,18963,0.009846925735473633
Graph_18_77_2,18,77,5,"{(0, 4), (0, 9), (0, 15), (0, 14), (0, 11)}",36,18963,0.009385824203491211
Graph_18_77_3,18,77,6,"{(3, 7), (0, 3), (3, 9), (3, 6), (3, 15), (3, 5)}",36,18963,0.010165214538574219
Graph_18_77_4,18,77,6,"{(13, 14), (1, 14), (14, 16), (9, 14), (0, 14), (12, 14)}",36,18963,0.009903192520141602
Graph_18_115_0,18,115,11,"{(4, 10), (2, 4), (0, 4), (3, 4), (4, 13), (4, 9), (4, 6), (4, 15), (4, 8), (4, 14), (4, 7)}",36,19305,0.010406732559204102
Graph_18_115_1,18,115,11,"{(5, 11), (1, 5), (5, 17), (5, 7), (5, 13), (4, 5), (5, 16), (5, 9), (2, 5), (5, 12), (3, 5)}",36,19305,0.010637760162353516
Graph_18_115_2,18,115,11,"{(4, 10), (4, 16), (0, 4), (4, 13), (4, 9), (4, 6), (4, 5), (4, 8), (4, 11), (4, 17), (4, 7)}",36,19305,0.008912086486816406
Graph_18_115_3,18,115,10,"{(2, 14), (2, 4), (1, 2), (2, 17), (2, 10), (2, 3), (2, 9), (2, 6), (2, 15), (2, 5)}",36,19305,0.014220714569091797
Graph_18_115_4,18,115,11,"{(3, 8), (6, 8), (8, 10), (8, 16), (8, 13), (4, 8), (8, 12), (8, 11), (0, 8), (7, 8), (2, 8)}",36,19305,0.013848066329956055
Graph_18_153_0,18,153,17,"{(3, 8), (8, 14), (8, 17), (5, 8), (6, 8), (1, 8), (8, 10), (8, 16), (8, 13), (8, 9), (4, 8), (8, 12), (8, 11), (0, 8), (8, 15), (7, 8), (2, 8)}",36,19647,0.015056371688842773
Graph_19_22_0,19,22,1,"{(0, 8)}",38,19502,0.007149457931518555
Graph_19_22_1,19,22,1,"{(1, 2)}",95,20507,0.007065296173095703
Graph_19_22_2,19,22,1,"{(7, 13)}",38,19502,0.0023488998413085938
Graph_19_22_3,19,22,1,"{(0, 7)}",38,19502,0.005810976028442383
Graph_19_22_4,19,22,1,"{(9, 12)}",38,19502,0.006951570510864258
Graph_19_43_0,19,43,1,"{(11, 17)}",57,20110,0.007174968719482422
