graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_20_96_3,20,96,5,31,332649,0.0414433479309082
Graph_20_96_4,20,96,6,28,334065,0.04182767868041992
Graph_20_143_0,20,143,12,39,505232,0.07137060165405273
Graph_20_143_1,20,143,11,36,502489,0.060462236404418945
Graph_20_143_2,20,143,12,36,504680,0.07628154754638672
Graph_20_143_3,20,143,12,33,502638,0.07851481437683105
Graph_20_143_4,20,143,11,33,502639,0.07335376739501953
Graph_20_190_0,20,190,19,34,671453,0.10854840278625488
Graph_21_27_0,21,27,1,2,1799,0.0
Graph_21_27_1,21,27,1,1,954,0.0
Graph_21_27_2,21,27,1,2,1998,0.0
Graph_21_27_3,21,27,1,1,931,0.0
Graph_21_27_4,21,27,1,1,974,0.0
Graph_21_53_0,21,53,3,31,186242,0.02375960350036621
Graph_21_53_1,21,53,3,35,188041,0.020320653915405273
Graph_21_53_2,21,53,2,36,184668,0.021946191787719727
Graph_21_53_3,21,53,3,28,186963,0.026553630828857422
Graph_21_53_4,21,53,2,27,185504,0.027028799057006836
Graph_21_106_0,21,106,7,33,386039,0.04786372184753418
Graph_21_106_1,21,106,6,32,386313,0.0358128547668457
Graph_21_106_2,21,106,6,37,386946,0.04247641563415527
Graph_21_106_3,21,106,6,34,387014,0.06265616416931152
Graph_21_106_4,21,106,8,31,388858,0.0417180061340332
Graph_21_158_0,21,158,12,39,580079,0.06928730010986328
Graph_21_158_1,21,158,10,35,583814,0.07636022567749023
Graph_21_158_2,21,158,13,35,583417,0.09024477005004883
Graph_21_158_3,21,158,12,40,584027,0.0922842025756836
Graph_21_158_4,21,158,12,32,585008,0.08989882469177246
Graph_21_210_0,21,210,20,32,779907,0.12184691429138184
Graph_22_29_0,22,29,1,1,1068,0.0
Graph_22_29_1,22,29,1,1,1024,0.0
Graph_22_29_2,22,29,1,1,1055,0.0
Graph_22_29_3,22,29,1,2,2010,0.0
Graph_22_29_4,22,29,1,1,1060,0.0
Graph_22_58_0,22,58,1,3,6559,0.0003523826599121094
Graph_22_58_1,22,58,2,32,211668,0.02686023712158203
Graph_22_58_2,22,58,2,31,213038,0.02294158935546875
Graph_22_58_3,22,58,2,22,212200,0.028851985931396484
Graph_22_58_4,22,58,2,33,212877,0.02598714828491211
Graph_22_116_0,22,116,8,36,442353,0.05702328681945801
Graph_22_116_1,22,116,7,34,441388,0.06211447715759277
Graph_22_116_2,22,116,7,38,439929,0.0622711181640625
Graph_22_116_3,22,116,9,38,444134,0.04697275161743164
Graph_22_116_4,22,116,7,35,444797,0.07817840576171875
Graph_22_174_0,22,174,13,34,672399,0.09409284591674805
Graph_22_174_1,22,174,12,37,673261,0.10138130187988281
Graph_22_174_2,22,174,12,28,668877,0.10440206527709961
Graph_22_174_3,22,174,13,35,670890,0.10193800926208496
Graph_22_174_4,22,174,10,31,671033,0.08814239501953125
Graph_22_231_0,22,231,21,40,899481,0.13587093353271484
Graph_23_32_0,23,32,1,1,1192,0.0
Graph_23_32_1,23,32,1,2,2442,0.0
Graph_23_32_2,23,32,1,2,2359,0.0
Graph_23_32_3,23,32,1,2,2324,0.0
Graph_23_32_4,23,32,1,1,1259,0.0
Graph_23_64_0,23,64,1,2,5021,0.0014033317565917969
Graph_23_64_1,23,64,2,29,244223,0.032393455505371094
Graph_23_64_2,23,64,3,35,248784,0.03106236457824707
Graph_23_64_3,23,64,3,33,247688,0.03081536293029785
Graph_23_64_4,23,64,1,1,2283,0.0004909038543701172
Graph_23_127_0,23,127,6,37,506261,0.0612945556640625
Graph_23_127_1,23,127,7,35,501499,0.07328510284423828
Graph_23_127_2,23,127,6,32,502543,0.06040334701538086
Graph_23_127_3,23,127,7,37,505163,0.07643795013427734
Graph_23_127_4,23,127,7,31,507044,0.06244921684265137
Graph_23_190_0,23,190,12,32,765058,0.11532068252563477
Graph_23_190_1,23,190,13,35,763774,0.10791015625
Graph_23_190_2,23,190,12,35,770714,0.11195540428161621
Graph_23_190_3,23,190,13,32,764640,0.11005830764770508
Graph_23_190_4,23,190,12,38,769814,0.10318374633789062
Graph_23_253_0,23,253,22,37,1024492,0.16800928115844727
Graph_24_35_0,24,35,1,1,1313,0.0
Graph_24_35_1,24,35,1,2,2637,0.0
Graph_24_35_2,24,35,1,1,1318,0.0
Graph_24_35_3,24,35,1,1,1354,0.0
Graph_24_35_4,24,35,1,1,1452,0.010218381881713867
Graph_24_70_0,24,70,1,3,8695,0.00033974647521972656
Graph_24_70_1,24,70,3,38,279024,0.03590035438537598
Graph_24_70_2,24,70,3,34,278832,0.035202741622924805
Graph_24_70_3,24,70,3,36,280116,0.038260698318481445
Graph_24_70_4,24,70,2,19,276573,0.029636859893798828
Graph_24_139_0,24,139,8,34,577776,0.06378340721130371
Graph_24_139_1,24,139,8,34,581992,0.07646608352661133
Graph_24_139_2,24,139,4,30,574275,0.07623767852783203
Graph_24_139_3,24,139,7,37,576964,0.07467842102050781
Graph_24_139_4,24,139,8,39,578531,0.07619047164916992
Graph_24_208_0,24,208,14,41,877331,0.12439656257629395
Graph_24_208_1,24,208,14,32,867820,0.13900065422058105
Graph_24_208_2,24,208,13,32,873751,0.13665127754211426
Graph_24_208_3,24,208,14,40,871137,0.13537931442260742
Graph_24_208_4,24,208,14,37,873322,0.12271595001220703
Graph_24_276_0,24,276,23,34,1162017,0.18667960166931152
