graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_100_3713_0,100,3713,62,"{(26, 79), (26, 85), (26, 91), (26, 30), (16, 26), (26, 39), (26, 97), (26, 36), (20, 26), (26, 42), (26, 45), (22, 26), (26, 51), (26, 54), (26, 57), (26, 63), (25, 26), (9, 26), (26, 66), (26, 60), (11, 26), (26, 75), (26, 72), (26, 78), (24, 26), (13, 26), (26, 84), (15, 26), (26, 90), (26, 29), (6, 26), (4, 26), (26, 56), (26, 59), (17, 26), (8, 26), (26, 68), (19, 26), (26, 71), (26, 83), (26, 89), (26, 28), (26, 86), (26, 92), (26, 37), (26, 95), (26, 40), (26, 46), (26, 98), (23, 26), (26, 43), (26, 49), (3, 26), (14, 26), (26, 58), (26, 52), (26, 55), (5, 26), (26, 64), (26, 70), (26, 67), (26, 76)}",62,14353,0.024369001388549805
Graph_100_3713_1,100,3713,64,"{(9, 51), (42, 51), (51, 56), (35, 51), (0, 51), (51, 65), (33, 51), (11, 51), (51, 62), (2, 51), (26, 51), (51, 74), (48, 51), (51, 71), (51, 77), (39, 51), (6, 51), (13, 51), (51, 80), (51, 83), (51, 92), (51, 95), (4, 51), (37, 51), (50, 51), (19, 51), (41, 51), (17, 51), (10, 51), (43, 51), (51, 58), (51, 52), (8, 51), (1, 51), (32, 51), (51, 70), (51, 73), (51, 82), (45, 51), (21, 51), (51, 85), (51, 88), (36, 51), (12, 51), (51, 94), (14, 51), (5, 51), (51, 54), (51, 60), (51, 63), (25, 51), (51, 72), (51, 68), (29, 51), (51, 75), (51, 81), (16, 51), (49, 51), (31, 51), (51, 78), (7, 51), (38, 51), (51, 87), (51, 90)}",64,14880,0.02175736427307129
Graph_100_4950_0,100,4950,99,"{(0, 51), (0, 60), (0, 5), (0, 69), (0, 14), (0, 78), (0, 23), (0, 87), (0, 44), (0, 53), (0, 62), (0, 7), (0, 71), (0, 16), (0, 80), (0, 37), (0, 46), (0, 55), (0, 64), (0, 9), (0, 73), (0, 30), (0, 94), (0, 39), (0, 48), (0, 57), (0, 2), (0, 66), (0, 32), (0, 96), (0, 41), (0, 50), (0, 59), (0, 68), (0, 25), (0, 89), (0, 34), (0, 98), (0, 43), (0, 52), (0, 61), (0, 18), (0, 82), (0, 27), (0, 91), (0, 36), (0, 45), (0, 54), (0, 11), (0, 75), (0, 20), (0, 84), (0, 29), (0, 93), (0, 38), (0, 47), (0, 4), (0, 13), (0, 77), (0, 22), (0, 86), (0, 31), (0, 95), (0, 40), (0, 6), (0, 70), (0, 15), (0, 79), (0, 24), (0, 88), (0, 33), (0, 97), (0, 42), (0, 63), (0, 8), (0, 72), (0, 17), (0, 81), (0, 26), (0, 90), (0, 35), (0, 99), (0, 56), (0, 1), (0, 65), (0, 10), (0, 74), (0, 19), (0, 83), (0, 28), (0, 92), (0, 49), (0, 58), (0, 3), (0, 67), (0, 12), (0, 76), (0, 21), (0, 85)}",99,24750,0.05258965492248535
Graph_100_4950_1,100,4950,99,"{(0, 51), (0, 60), (0, 5), (0, 69), (0, 14), (0, 78), (0, 23), (0, 87), (0, 44), (0, 53), (0, 62), (0, 7), (0, 71), (0, 16), (0, 80), (0, 37), (0, 46), (0, 55), (0, 64), (0, 9), (0, 73), (0, 30), (0, 94), (0, 39), (0, 48), (0, 57), (0, 2), (0, 66), (0, 32), (0, 96), (0, 41), (0, 50), (0, 59), (0, 68), (0, 25), (0, 89), (0, 34), (0, 98), (0, 43), (0, 52), (0, 61), (0, 18), (0, 82), (0, 27), (0, 91), (0, 36), (0, 45), (0, 54), (0, 11), (0, 75), (0, 20), (0, 84), (0, 29), (0, 93), (0, 38), (0, 47), (0, 4), (0, 13), (0, 77), (0, 22), (0, 86), (0, 31), (0, 95), (0, 40), (0, 6), (0, 70), (0, 15), (0, 79), (0, 24), (0, 88), (0, 33), (0, 97), (0, 42), (0, 63), (0, 8), (0, 72), (0, 17), (0, 81), (0, 26), (0, 90), (0, 35), (0, 99), (0, 56), (0, 1), (0, 65), (0, 10), (0, 74), (0, 19), (0, 83), (0, 28), (0, 92), (0, 49), (0, 58), (0, 3), (0, 67), (0, 12), (0, 76), (0, 21), (0, 85)}",99,24750,0.03800535202026367
Graph_125_969_0,125,969,8,"{(79, 114), (51, 79), (44, 79), (79, 83), (79, 118), (71, 79), (79, 92), (62, 79)}",8,2036,0.0010106563568115234
Graph_125_969_1,125,969,8,"{(59, 71), (44, 71), (17, 71), (7, 71), (18, 71), (55, 71), (71, 111), (71, 88)}",8,2036,0.0
Graph_125_1938_0,125,1938,21,"{(6, 85), (6, 30), (6, 106), (6, 45), (6, 124), (6, 75), (6, 84), (6, 23), (6, 17), (6, 26), (6, 32), (3, 6), (6, 44), (6, 111), (6, 114), (6, 53), (6, 83), (6, 22), (6, 104), (6, 107), (6, 55)}",21,5481,0.005006551742553711
Graph_125_1938_1,125,1938,21,"{(4, 49), (4, 113), (4, 58), (4, 64), (4, 67), (4, 6), (4, 21), (4, 97), (4, 48), (4, 115), (4, 20), (4, 23), (4, 96), (4, 102), (4, 56), (4, 7), (4, 71), (4, 13), (4, 77), (4, 31), (4, 104)}",21,5481,0.0061953067779541016
Graph_125_3876_0,125,3876,50,"{(26, 85), (26, 30), (26, 27), (26, 39), (26, 97), (26, 36), (20, 26), (26, 100), (22, 26), (26, 51), (26, 109), (26, 63), (26, 121), (9, 26), (26, 66), (26, 124), (26, 69), (26, 75), (0, 26), (11, 26), (26, 72), (26, 87), (26, 96), (6, 26), (26, 35), (26, 105), (26, 111), (26, 56), (26, 65), (8, 26), (26, 68), (1, 26), (26, 28), (26, 37), (26, 95), (26, 34), (26, 40), (26, 98), (23, 26), (26, 49), (26, 107), (26, 113), (14, 26), (26, 58), (3, 26), (26, 119), (26, 64), (26, 67), (26, 73), (25, 26)}",50,13775,0.015715360641479492
Graph_125_3876_1,125,3876,48,"{(33, 97), (33, 36), (33, 42), (13, 33), (33, 39), (33, 103), (33, 54), (33, 51), (33, 121), (33, 60), (33, 124), (33, 72), (17, 33), (19, 33), (33, 90), (33, 35), (33, 99), (33, 44), (33, 96), (33, 108), (33, 50), (33, 56), (33, 114), (33, 53), (21, 33), (33, 59), (33, 120), (12, 33), (33, 71), (3, 33), (27, 33), (33, 77), (33, 83), (33, 89), (33, 95), (33, 98), (33, 104), (33, 43), (33, 113), (33, 52), (29, 33), (33, 46), (33, 61), (31, 33), (33, 82), (9, 33), (33, 88), (33, 94)}",48,13176,0.01397252082824707
